ADR:  ,Adverse Drug Reaction  
AE:  ,Adverse Event  
CRF:  ,Case Report Form  
CRO:  ,Contract Research Organization  
DLQI:  ,Dermatology Quality of Life Index  
HCP:  ,Healthcare Practitioner  
IEC:  ,Independent Ethics Committee  
IRB:  ,Institutional Review Board  
LEO  ,LEO Pharma A/S and/or affiliates or representatives  
MedDRA:  ,Medical dictionary for Regulatory Activities  
NIS:  ,Non-Interventional Study  
OE:  ,Other Experience  
PASI:  ,Psoriasis Area and Severity Index  
PRO:  ,Patient Reported Outcome  
QoL:  ,Quality of Life  
