Objective  ,Statistical analysis  ,Exposure measure  ,Outcome measure  ,Covariables  
1  ,Contingency table; Sensitivity / Specificity  ,N/A  ,Concordance level between PSO-TARGET Component grid and DLQI at 12/16 weeks  ,N/A  
2.a  ,Proportions  ,N/A  ,Achievement of the main goal (yes /no) at 12/16 weeks  ,N/A  
2.b  ,Proportions – sensitivity analysis  ,N/A  ,Achievement of the main goal (yes /no) at 12/16 weeks  ,N/A  
2.c  ,"Binary logistic regression models,  ",N/A  ,Achievement of the main goal (yes /no) at 12/16 weeks  ,"Relevant confounders (eg : demographic data, medical history, previous treatment…)  "
2.d  ,Proportions  ,N/A  ,Achievement of the main goal (yes /no) at 12/16 weeks for each component  ,N/A  
3.a  ,Means  ,N/A  ,Description and evolution of PASI score at 12/16 then 52 ± 4 weeks  ,N/A  
3.b  ,Mixed effect model with repeated measurement  ,N/A  ,Evolution of PASI score over the 52 ± 4 weeks  ,PASI score at baseline  
3.c  ,Means  ,N/A  ,Description and evolution of DLQI score at 12/16 then 52 ± 4 weeks  ,N/A  
3.d  ,Mixed effect model with repeated measurement  ,N/A  ,Evolution of DLQI score over the 52 ± 4 weeks  ,DLQI score at baseline  
3.e  ,Proportions. Khi-Square analysis  ,N/A  ,PASI≥90 versus satisfaction level (QoL Component grid)  ,
4.a  ,Proportions  ,N/A  ,Proportion of concordant choices (yes /no)  ,N/A  
4.b  ,Kappa coefficient  ,N/A  ,Agreement for the selected dimension between patient and physician  ,N/A  
5.a  ,Proportions  ,N/A  ,Maintenance of the main goal (yes /no) at 52 ± 4 weeks  ,N/A  
6.a  ,Proportions  ,N/A  ,Change of the therapeutic objective (yes /no) at 12/16 weeks  ,N/A  
