,Pre-Study  ,Cycle 1  ,Cycle 2  ,Cycle 3  ,Cycle 4  ,Cycle 5  ,Cycle 6  ,Treatment Discontinuation  ,Off Study  
Informed consent  ,X  ,,,,,,,,
Demographics  ,X  ,,,,,,,,
Medical history  ,X  ,,,,,,,,
Physical exam  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  
Vital signs  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  
Height  ,X  ,,,,,,,,
Weight  ,X  ,,,X  ,,X  ,,X  ,X  
Biopsy diagnostic of KS (fixed in formalin)  ,Xe  ,,,,,,,,
FACT-G Questionnaire  ,,Xf  ,,,X  ,,,X  ,X  
Toxicity evaluations  ,,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  
Performance status  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  
"CBC w/diff, plts  ",X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  
Serum chemistrya  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  
Oxygen saturation  ,Xb  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  
Radiologic evaluation  ,X  ,,,,,,,X  ,X  
Tumor measurements  ,X  ,,X  ,,X  ,,X  ,X  ,X  
Pregnancy testc  ,Xd  ,,X  ,X  ,X  ,X  ,X  ,,
"a: Total and direct bilirubin, creatinine, SGOT [AST], SGPT [ALT].   b. Within 14 days before enrollment   c. Prior to chemotherapy.   d: Serum pregnancy test (women of childbearing potential).   e. A skin biopsy of an area of KS will be done prior to treatment start if one has not already been done in the past.   f: Prior to initiating treatment.    "
