,HALI YA JAMII/FAMILIA  ,Hata kidogo  ,Kidogo  ,Wastani  ,Zaidi ya wastani  ,Sana  
GS1  ,Najisikia karibu na marafiki zangu…………………………….  ,0  ,1  ,2  ,3  ,4  
GS2  ,Ninapata msaada moyoni kutoka kwa familia yangu……………….  ,0  ,1  ,2  ,3  ,4  
GS3  ,Ninapata msaada kutoka kwa rafiki zangu………………………  ,0  ,1  ,2  ,3  ,4  
GS4  ,Familia yangu imeukubali ugonjwa wangu..............................  ,0  ,1  ,2  ,3  ,4  
GS5  ,Nimeridhika na mawasiliano ya familia yangu kuhusu ugonjwa wangu............................................  ,0  ,1  ,2  ,3  ,4  
,,Hata kidogo  ,Kidogo  ,Wastani  ,Zaidi ya wastani  ,Sana  
GS6  ,Ninajisikia karibu na mwenzangu (au mtu anayenisaidia zaidi).........  ,0  ,1  ,2  ,3  ,4  
Q1  ,"Bila kujali kiwango chako cha sasa katika tendo la kujamiana, tafadhali jibu maswali yafuatayo. Kama hupendelei kujibu maswali haya tafadhali weka alama kwenye kisanduka hiki □na kisha nenda kwenye sehemu inayofuata ",,,,
GS7  ,,0 
,Nimeridhika na hali yangu ya unyumba…………………………  ,,1  ,2  ,3  ,4  
