,HALI YA JAZIBA  ,Hata kidogo  ,Kidogo  ,Wastani  ,Zaidi ya wastani  ,Sana  
GE1  ,Nina huzuni……………………….  ,0  ,1  ,2  ,3  ,4  
GE2  ,Nimeridhika na jinsi ninavyokabili ugonjwa wangu…………………...  ,0  ,1  ,2  ,3  ,4  
GE3  ,Nimeanza kukata tamaa kupambana na ugonjwa wangu…...  ,0  ,1  ,2  ,3  ,4  
GE4  ,Nina wasiwasi…………………….  ,0  ,1  ,2  ,3  ,4  
GE5  ,Ninahofu kuhusu kifo…………….  ,0  ,1  ,2  ,3  ,4  
GE6  ,Nina wasiwasi kwamba hali yangu itazidi kuwa mbaya.........................  ,0  ,1  ,2  ,3  ,4  
,HALI YA UTENDAJI  ,Hata kidogo  ,Kidogo  ,Wastani  ,Zaidi ya wastani  ,Sana  
GF1  ,Ninaweza kufanya kazi (pamoja na zile za nyumbani)…………………  ,0  ,1  ,2  ,3  ,4  
GF2  ,Kazi yangu (pamoja na kazi ninayoifanya nyumbani) inaridhisha.......................................  ,0  ,1  ,2  ,3  ,4  
GF3  ,Ninaweza kufurahia maisha............  ,0  ,1  ,2  ,3  ,4  
GF4  ,Nimekubali hali ya ugonjwa wangu..............................................  ,0  ,1  ,2  ,3  ,4  
GF5  ,Ninalala vizuri……………………  ,0  ,1  ,2  ,3  ,4  
GF6  ,Nayafurahia mambo ninayofanya kujifurahisha……………………...  ,0  ,1  ,2  ,3  ,4  
GF7  ,Nimeridhika na hali ya maisha hivi sasa………………………………..  ,0  ,1  ,2  ,3  ,4  
