Abbreviation or Specialist Term  ,Explanation  
PASI  ,Psoriasis Area Severity Index  
PBI  ,Patient Benefit Index  
PBQ  ,Patient Benefit Questionnaire  
PDE  ,Phosphodiesterase  
PDE4  ,Phosphodiesterase type 4  
PNQ  ,Patient Needs Questionnaire  
PP  ,Per protocol  
PPPGA  ,Palmoplantar Psoriasis Physicians Global Assessment  
PC  ,Product Complaint  
PUVA  ,Psoralens and long-wave ultraviolet radiation  
QOL  ,Quality of life  
RBC  ,Red blood cell  
SAE  ,Serious adverse event  
SAP  ,Statistical analysis plan  
SC  ,Steering committee  
ScPGA  ,Scalp Physician Global Assessment  
SGOT  ,Serum glutamic oxaloacetic transaminase  
SGPT  ,Serum glutamic pyruvic transaminase  
SOP  ,Standard operating procedure  
sPGA  ,static Physicians Global Assessment  
sPGA-G  ,static Physicians Global Assessment of Genitalia  
SUSAR  ,Suspected unexpected serious adverse reaction  
TNF  ,Tumor necrosis factor  
UVB  ,Ultraviolet light B  
VAS  ,Visual Analog Scale  
WBC  ,White blood cell  
WHO  ,World Health Organization  
WPAI: PSO  ,Work Productivity and Activity Impairment Questionnaire: Psoriasis  
