Visit Number  ,Screening  ,Placebo-Controlled Phasea  ,,,,Apremilast Extension Phaseb  ,,,,Post-Treatment Observational Follow-upd  
,1  ,Baseline 2  ,3  ,4  ,5  ,6  ,7  ,8  ,9/ETc  ,56 weeks (or 4 weeks after study discontinuation) 
Week  ,-35 to 0 days  ,0 (Day 1)  ,2 (± 3 days)  ,4 (± 3 days)  ,16 (± 3 days)  ,20 (± 4 days)  ,32 (± 4 days)  ,44 (± 4 days)  ,52 (± 4 days)  
Informed consente  ,X  ,- ,- ,- ,- ,- ,- ,- ,- ,- 
Inclusion/Exclusion criteria  ,X  ,X  ,- ,- ,- ,- ,- ,- ,- ,- 
Demographics  ,X  ,- ,- ,- ,- ,- ,- ,- ,- ,- 
Medical history  ,X  ,- ,- ,- ,- ,- ,- ,- ,- ,- 
Prior / concomitant medications or therapies  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,- 
Clinical and Laboratory Assessments  
Adverse eventsf  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  
Pregnancy test and contraception educationg  ,X  ,X  ,- ,- ,- ,- ,- ,- ,X  ,- 
Vital signs  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,- 
Height  ,X  ,- ,- ,- ,- ,- ,- ,- ,- ,- 
Weight  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,- 
Waist Circumference  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,- ,X  ,- 
Body Mass Index  ,X  ,- ,- ,- ,- ,- ,- ,- ,- ,- 
Physical Examination  ,X  ,- ,- ,- ,- ,- ,- ,- ,- ,- 
"Clinical laboratory evaluations,h,i  ",X  ,X  ,- ,- ,X  ,- ,X  ,- ,X  ,- 
