AE  ,adverse event  
COI  ,conflict of interest  
CRO  ,contract research organization  
DTSQ  ,Diabetes Treatment Satisfaction Questionnaire  
DTR-QOL  ,Diabetes Therapy-Related QOL  
FDA  ,US Food and Drug Administration  
GCP  ,Good Clinical Practice  
ICH  ,International Conference on Harmonization of Technical Requirement for Registration on Pharmaceuticals for Human Use  
MHRA  ,Medicines and Healthcare Products Regulatory Agency  
MedDRA  ,Medical Dictionary for Regulatory Activities  
QOL  ,Quality Of Life  
SAE  ,serious adverse event  
SAP  ,statistical analysis plan  
