Abbreviation or Term1  ,Definition/Explanation  
AE  ,Adverse event  
ALT  ,Alanine aminotransferase  
ANCOVA  ,Analysis of covariance  
ANOVA  ,Analysis of variance  
APTT  ,Activated partial thromboplastin time  
AST  ,Aspartate aminotransferase  
AV  ,Atrioventricular  
β-HCG  ,Beta-human chorionic gonadotropin  
BID  ,Twice daily  
BLQ  ,Below limit of quantification  
BMI  ,Body mass index  
BP  ,Blood pressure  
BUN  ,Blood urea nitrogen  
Ca++  ,Calcium  
CBC  ,Complete blood count  
CFR  ,Code of Federal Regulations  
CHF  ,Congestive heart failure  
CI  ,Confidence interval  
Cl-  ,Chloride  
CLcr  ,Creatinine clearance  
Cmax  ,Maximum observed concentration  
Cmin  ,Trough observed concentration  
CNS  ,Central nervous system  
CR  ,Complete response  
CRF  ,Case report form  
CT  ,Computed tomography  
CTCAE  ,Common Toxicity Criteria for Adverse Events  
CV  ,Coefficient of variation  
CYP  ,Cytochrome P450  
D/C  ,Discontinue  
ECOG  ,Eastern Cooperative Oncology Group  
eCRF  ,Electronic case report form  
DLT  ,Dose Limiting Toxicity  
ECG  ,Electrocardiogram  
Eg  ,Exempli gratia (for example)  
FACS  ,Fluorescence Activated Cell Sorting  
FDA  ,Food and Drug Administration  
FDG-PET  ,Fluorodeoxyglucose (FDG)-positron emission tomography (PET)  
GCP  ,Good Clinical Practice  
GFR  ,Glomerular filtration rate  
GGT  ,Gamma glutamyl transferase  
GLP  ,Good laboratory practice  
HBsAg  ,Hepatitis B surface antigen  
HBV  ,Hepatitis B virus  
HCO3 - ,Bicarbonate  
HCV  ,Hepatitis C virus  
HIV  ,Human immunodeficiency virus  
HR  ,Heart rate  
hr  ,Hour or hours  
IC50  ,Half maximal inhibitory concentration  
i.e.  ,Id est (that is)  
IEC  ,Independent ethics committee  
IND  ,Investigational New Drug  
INR  ,International normalized ratio  
IRB  ,Institutional review board  
IU  ,International unit  
IV  ,"Intravenous, intravenously  "
LDH  ,Lactate dehydrogenase  
LHRH  ,Luteinizing hormone releasing hormone  
LLQ  ,Lower limit of quantitation  
MedRA  ,Medical Dictionary for Drug Regulatory Activities  
MRI  ,Magnetic resonance imaging  
MRSD  ,Maximum recommended starting dose  
MTD  ,Maximum tolerated dose  
NOAEL  ,No-observed-adverse-effect level  
NOEL  ,No-observed-effect-level  
PD  ,Pharmacodynamic(s)  
PFS  ,Progression Free Survival  
PK  ,Pharmacokinetic(s)  
PO  ,Per os (administered by mouth)  
PR  ,Partial response  
PT  ,Prothrombin time  
PTT  ,Partial thromboplastin time  
QC  ,Quality control  
RBC  ,Red blood cell  
QD  ,Once daily  
QTc  ,QT interval corrected  
QTcF  ,QT interval corrected using Frederichia equation  
SAE  ,Serious adverse event  
SD  ,Standard deviation or stable disease  
T1/2  ,Terminal elimination half-life  
T3  ,Triiodothyronine  
T4  ,Thyroxine  
Tmax  ,Time of maximum observed concentration  
TID  ,Three times daily  
TSH  ,Thyroid-stimulating hormone  
ULN  ,Upper limit of normal  
ULQ  ,Upper limit of quantitation  
UV  ,Ultraviolet  
WBC  ,White blood cell  
WOCBP  ,Women of childbearing potential  
WONCBP  ,Women of nonchildbearing potential  
