,ADDITIONAL CONCERNS  ,Not at  all  ,A little  bit  ,Some- what  ,Quite  a bit  ,Very much  
C2  ,I am losing weight.............................................................. ,.  0  ,1  ,2  ,3  ,4  
C6  ,I have a good appetite .....-.....................-.-....-.-.-......-.-.-.-..... ,.  0  ,1  ,2  ,3  ,4  
Pl  ,I have aches and pains that bother me..............-......-.-...-..-. ,.  0  ,1  ,2  ,3  ,4  
P2  ,I have certain parts of my body where I experience pain... ,.  0  ,1  ,2  ,3  ,4  
Pa  ,My pain keeps me from doing things I want to do e.......�..  ,�  � 0  ,1  ,2  ,3  ,4  
Pa  ,I am satisfied with my present comfort level ...................-. ,.  0  ,1  ,2  ,3  ,4  
P5  ,I am able to feel like a man ......-.-.-.-....-.-.-....-.-.-.--.-.-.-.--.-.-. ,.  0  ,1  ,2  ,3  ,4  
Pe  ,. I have trouble moving my bowels..................-.................. ,. 0  ,1  ,2  ,3  ,4  
P7  ,I have difficulty 1llrinating................................................... ,.  0  ,1  ,2  ,3  ,4  
BI2  ,I urinate more frequently than usual •  a • a • «a • a � • • • a • a • • • a � • • • a • • • • • a • • • •  ,�  0  ,1  ,2  ,3  ,4  
Pa  ,. My problems with urinating limit my activities................ ,. 0  ,1  ,2  ,3  ,4  
BI5  ,I am able to have and maintain an erection....-.-......-.-.-.-.... ,.  0  ,1  ,2  ,3  ,4  
